[17:44:34] [INFO] received Windows console close event; shutting log-core down
[17:46:29] [INFO] received Windows console close event; shutting log-core down
[17:47:13] [INFO] received Windows console close event; shutting log-core down
[17:49:50] [INFO] received Windows console close event; shutting log-core down
[17:50:20] [INFO] received Windows console close event; shutting log-core down
[17:51:43] [INFO] received Windows console close event; shutting log-core down
[18:13:24] [INFO] received Windows console close event; shutting log-core down
[18:15:56] [INFO] received Windows console close event; shutting log-core down
[18:19:08] [INFO] received Windows console close event; shutting log-core down
[18:21:15] [INFO] received Windows console close event; shutting log-core down
[18:21:47] [INFO] received Windows console close event; shutting log-core down
[18:23:25] [INFO] received Windows console close event; shutting log-core down
[18:24:55] [INFO] received Windows console close event; shutting log-core down
[18:26:40] [INFO] received Windows console close event; shutting log-core down
[18:27:22] [INFO] received Windows console close event; shutting log-core down
[18:27:53] [INFO] received Windows console close event; shutting log-core down
[18:42:33] [INFO] received Windows console close event; shutting log-core down
[19:09:11] [INFO] received Windows console close event; shutting log-core down
[19:15:39] [INFO] received Windows console close event; shutting log-core down
[19:24:20] [INFO] received Windows console close event; shutting log-core down
[19:26:38] [INFO] received Windows console close event; shutting log-core down
[19:27:51] [INFO] received Windows console close event; shutting log-core down
[19:40:33] [INFO] received Windows console close event; shutting log-core down
[20:24:26] [INFO] received Windows console close event; shutting log-core down
